视频,类型,点赞,评论,综合评分
读书不知归处，误入书画境中,绘画,380361,1034,114832.1
孤勇者小学生 但是特效拉满,鬼畜剧场,337827,3211,103595.79999999999
如果僵尸拿起了铲子！,单机游戏,305280,477,91917.9
课 堂 请 勿 对 对 子【2022毕业篇】！！！,短片·手书·配音,298436,1774,90772.6
这个4年前最被期待的射击游戏终于要来了！【第三次世界大战】,网络游戏,294276,3446,90695.0
我只是多看了他一眼，他就拼命追我们，可能是疯了？,汪星人,212167,2935,65704.6
有一个表情管理的教导主任是什么体验,舞蹈综合,209120,1745,63957.5
学渣的自我修养！画地为牢什么的，常规操作而已,搞笑,165165,364,49804.3
【超实用】你的手机号绑定了多少app？30秒快速查询、解绑！,社会,147649,4142,47194.1
在印度想家了怎么办？吃点家乡的美食！,美食侦探,148959,2340,46325.7
2022《伴你成长》毕业季大合唱来了！,MV,142981,1706,44088.49999999999
我知道，喜茶很想弄死我...,美食制作,104132,1188,32071.199999999997
大家切记 东西咱能不买就不买 能白嫖就白嫖,日常,86296,1420,26882.8
李庄白肉  厨子探店¥199,美食侦探,81812,2064,25988.399999999998
《 轻 轻 敲 醒 沉 睡 的 心 灵 》,单机游戏,72509,370,22011.7
在毕业最后一天和被拒三年的学姐表白？,美妆护肤,65853,889,20378.199999999997
卧槽！原来刘亦菲当年说的都是真的！,粉丝创作,60805,2630,20082.5
老外vs你的联系方式,搞笑,58616,816,18156.0
求求你别卷了！这玩意在校门口卖10元真不贵…,美食制作,58679,538,17980.3
原来蹭吃蹭喝这么幸福，就不知道以后有没有机会呀，哈哈哈,出行,58195,456,17777.7
小诊所深藏中医圣手，他用吸血鬼造神奇，为病人好从不多开一副药,科学科普,54592,1045,17109.1
谢谢你，虚空妈咪,电子竞技,53887,962,16839.5
“一步之遥-金州勇士”,篮球,53916,272,16365.199999999999
这也行？我国科学家通过蚂蟥体内DNA分析保护区动物！,社会,49235,1040,15498.5
一个午餐肉罐头能放十年还不坏，原理是什么？,科学科普,46941,957,14752.199999999999
在乡下生活也是一种享受,搞笑,39670,412,12189.4
剧TOP：豆瓣9.1，现象级韩剧《D.P逃兵追缉令》（上）,影视杂谈,35567,1367,11627.0
大庆赶海，发现一只大个猫眼螺藏在沙子里，肥肥的一捏全是水,田园美食,36821,462,11369.699999999999
千 万 别 在 西 藏 上 厕 所 ！,出行,34923,908,11112.5
艾特喜欢汪汪的男孩子来看,汪星人,35004,859,11102.499999999998
夜以继日，蛮横搏斗太刺激，这鱼我等它一年了！,运动综合,31569,2240,11038.699999999999
编剧真的没有必要让男女主强行双洁！！！,影视杂谈,24466,3325,9667.3
你们根本不懂有女儿的快乐………,搞笑,31401,283,9618.4
后来的古言剧再无这般惊才绝艳的台词！这来自几百年前的女性呐喊至今振聋发聩,影视剪辑,27498,393,8524.5
【神超云顶之弈】T0冒险刀霞！顶级拼多多理解把把吃分， 学会三天上大师！【S7巨龙之境阵容教学】,电子竞技,24624,1540,8465.2
【原神填词/海底】浮生终一刹，万般皆难舍,手机游戏,23866,505,7513.3
【暴走大事件第九季】 05 考漂移、测智商、忽悠聊天？扒一扒各国驾考文化,综艺,23295,477,7322.4
中国上海独有的超市？美食堪比世界级食堂！烤猪肘、烤鸡竟然是这味道？,美食测评,23195,431,7260.2
去孔子学院接侯哥放学，检查学习成果，新房子买电缆刚好1000万当地币,出行,21534,1053,7197.299999999999
这玩意才是米饭杀手！！！,美食制作,21558,491,6811.099999999999
假如世界禁止嘤嘤怪,健身,21531,314,6679.1
Cardi B《浦巴罗》精彩片段,明星综合,20721,547,6599.2
为什么男人的韭菜不好割了【沈帅波】,财经商业,18735,1048,6354.1
金字塔尖的做法！肉香和豆豉香结合，下饭简直一绝~丨回锅肉,美食制作,18163,606,5873.099999999999
“一百一别住酒店了，你上我家住别墅去吧。”出行奇遇，路遇“空城”,出行,13278,1844,5274.2
80买3斤牛最便宜的肉，看着丑，做好香！比牛腱肉还好吃！,美食记录,14823,426,4745.099999999999
空灵嗓音直击灵魂深处，男女合唱英文版《海底》,翻唱,13895,459,4489.8
称霸亚洲走向世界？印度的大国梦是怎么破碎的,人文历史,12224,435,3971.7
破败之王超级分身：50个英雄！我一个人就是军队！(破败之王 佛耶戈BUG),电子竞技,11105,875,3944.0
食人巨鳄横行非洲40年，开枪打不死至今没抓着，现实比电影还离谱···,动物综合,11338,691,3885.1
