时间,点赞,评论
2021.07.31,3396,路上见识世界，途中认清自己[拥抱]
2021.07.31,2255,我的毕业显得太无趣了，没有毕业晚会，也只是几个朋友聚聚散散就连毕业照也不是当季的没有我特别想见的人，算有一个吧，但我们选择了不同的人生晃眼一看，所谓青春，所谓毕业，无非就是突然间发现见不到某些人了，无非就是明白再也回不去了我并未多想念我的三年，没有我特别喜欢或厌恶的人或事，只是突然觉得空落落的发现那只是过去了我仍是怀念这段时间，因为那是我人生的一部分
2021.07.31,923,祝毕业生可以参加自己喜欢的工作岗位吧[罗小黑_加油][罗小黑_鼓掌]
2021.07.31,813,小学的时候感觉自己好痛苦，每天都要上课、写作业初中的时候发现小学其实很快乐，小学偷偷喜欢的女孩子就在隔壁班，路过就能看到，但是作业变多了，科目变多了难了……高中到了，曾经暗恋的女孩子很优秀，可是我却去了一个私立高中，发现住校了，课程越来越难，作业越来越多，竞争压力越来越大，朋友越来越少……现在我提前春季高考，结束了……回头看看想想，好像自己错过了好多好多……[大哭][大哭][大哭]
2021.07.31,533,分别并不是是句号我们各自努力以后在更高处相见
2021.07.31,507,毕业离校那天是个阴天，没有想象中的隆重离别仪式，也没有想象中的抱头痛哭，就是平平淡淡地推着个行李箱就走了。但是走出校门后我才发现可能下次再回学校，就不知道是多少年以后了[难过]（因为学校离家好几千公里）
2021.07.31,375,毕业快乐祝前程似锦[给心心][给心心]
2021.07.31,315,青春有憾但要前行
2021.08.02,13,毕业快乐是最大的谎言之一[无语]
2021.08.01,37,我只想拉住流年，好好说声再见～珈里的孩子在长大，或许时光已回不到从前～但不管风将我们带往何方，少年的心儿永不会改变。葱郁的珞珈山永远在等着你回来，温柔的东湖水永远淌在你的心间[给心心]感谢武大青年传媒的小伙伴为这次视频的付出，特别感谢中南医院王欣老师对我们的道具支持，感谢来自华中师大一附中的罗翌冲同学的空镜支持，也感谢武大毕业生同学们的热情参与[惊喜]
2021.08.01,13,祝你们可以住进比留学生公寓还要好的宿舍
2021.07.31,13,bgm—《记念》雷雨心！！！强烈安利！！！毕业视频的bgm
